,Title,Abstract,Claims
0,device system method mixing,device system includes mixer comprising threedimensional lattice defining plurality tortuous interconnecting passage therethrough mixer communication source stream least two separate component mixed form combined fluid stream source stream may least initially opposite side mixer source stream may upstream side mixer outlet disposed downstream mixer related method may include providing mixer comprising threedimensional lattice defining plurality tortuous interconnecting passage therethrough selecting material mixer based physical characteristic said material said characteristic including selected one mean flow pore size thickness porosity volume,mixing system forming fibrin foam bubble diameter comprising first component second component system mixing system mixing comprising least one mixer two opposing side comprising threedimensional lattice defining plurality tortuous interconnecting passage therethrough first container fluid communication one side mixer holding first component second container fluid communication side mixer holding second component container fluid communication container mixer allow one first second component flow one side mixer side mixer allow return flow component mixer first component comprises solution fibrinogen second component comprises solution thrombin least one first container second container comprises volume air fibrin foam prepared least causing one first second component flow one side mixer side container holding first second component causing return flow component mixer form fibrin foam bubble diameter mixing system ratio volume fibrinogen solution volume thrombin solution mixing system ratio volume air sum volume fibrinogen solution thrombin solution mixing system fibrin foam volume air mixing system ratio volume air sum volume fibrinogen solution thrombin solution mixing system fibrinogen solution concentration mg fibrinogenml mixing system thrombin solution concentration iu thrombin mixing system air provided least first port mixing system air provided least second port mixing system bubble diameter least micron mixing system bubble diameter least micron mixing system mixer k value within range measured darcys law kq l p qflow rate combined fluid stream viscosity viscous two component lthickness mixer ssurface area mixer pchange pressure upstream downstream location mixer fibrin foam comprising threedimensional reaction product fibrinogen thrombin percent crosslinking air bubble entrained within reaction product air bubble volume fibrin foam fibrin foam bubble diameter least micron fibrin foam bubble diameter least micron fibrin foam prepared mixing volume fibrinogen solution volume thrombin solution volume air fibrin foam ratio volume fibrinogen solution volume thrombin solution fibrin foam ratio volume air sum volume fibrinogen solution thrombin solution fibrin foam ratio volume air sum volume fibrinogen solution thrombin solution fibrin foam fibrinogen solution concentration mg fibrinogenml fibrin foam thrombin solution concentration iu thrombin method treating biological tissue wound comprising applying fibrin foam biological tissue wound method treating biological tissue wound comprising applying fibrin foam prepared using mixing device biological tissue wound mixing system first second container comprise syringe comprising one male female luer locking feature mixing system comprising connector including first second end end comprising one male female luer locking feature mixer located fluid passageway defined connector mixing system male female luer locking feature syrinx associated corresponding male female luer lock locking feature connector thereby providing luer lock type connection
1,extracellular matrix used scaffold living cell,present invention discloses extracellular matrix comprising modified polysaccharide consisting repeating disaccharide unit whereby least disaccharide unit one primary alcohol group oxidized carboxylic acid,material comprising modified agarose least partial sheet structure comprising repeat disaccharide unit least repeat disaccharide unit carboxylic acid modified agarose shear modulus g range pa pa material repeat disaccharide unit carboxylic acid material repeat disaccharide unit carboxylic acid material modified agarose comprises unmodified polysaccharide material unmodified polysaccharide selected group consisting agarose member carrageenan family hyaluronic acid heparin sulfate dermatan sulfate chondroitin sulfate alginate chitosan pullulan material unmodified polysaccharide comprises agarose material modified agarose obtained agarose exhibiting alphahelix structure material comprising peptide sequence covalently coupled carboxylic acid material comprising nucleic acid sequence covalently coupled carboxylic acid material material shear modulus g range pa kpa material material shear modulus g range pa kpa material material shear modulus g range pa kpa material material implant material material regenerative implant material regenerative implant artificial skin material material injectable subject material material comprises living cell material material implanted skin subject
2,emu oil combination active ingredient treating skin imperfection,composition comprising emu oil vehicle delivery active ingredient treatment cosmetic skin imperfection acne wrinkle hair loss disclosed method treating cosmetic skin imperfection using composition also disclosed,composition comprising emu oil paraben composition paraben methyl paraben ethyl paraben propyl paraben isopropyl paraben butyl paraben isobutyl paraben composition comprising one additional component selected group consisting antimicrobial antifungal antiinflammatories composition comprising one additional component selected group consisting doxycycline erythromycin salicylic acid sulphacetamide sodium retina retinol retinoids azelaic acid clindamycin tazarotene benzoyl peroxide composition comprising one additional component selected group consisting fragrance flavor cooling agent heating agent composition comprising one additional component selected group consisting antiinflammatory agent antiacne agent antiwrinkle agent antiskin atrophy agent soothing active antiitch agent skin repair active composition consisting essentially emu oil paraben composition paraben methyl paraben ethyl paraben propyl paraben isopropyl paraben butyl paraben isobutyl paraben composition consisting emu oil paraben composition paraben methyl paraben ethyl paraben propyl paraben isopropyl paraben butyl paraben isobutyl paraben method treating skin disorder comprising administering composition patient need treatment
3,device method treating craniofacial pain,implementation provide method treating craniofacial pain patient method including placing wirelessly powered passive device opening target site head neck region patient body wirelessly powered passive device configured receive input signal noninductively external antenna positioning wirelessly powered passive device adjacent near nerve target site causing neural modulation nerve one electrode wirelessly powered passive device,method treating craniofacial pain patient method comprising placing wirelessly powered passive device opening target site head neck region patient body wirelessly powered passive device configured receive input signal noninductively external antenna positioning wirelessly powered passive device adjacent near nerve target site causing neural modulation nerve one electrode wirelessly powered passive device
4,system method aerosolizing vaporizable material,smoking device generating releasing smoking vapor free contamination mouth user comprising mouthpiece providing vapor inhalation user including tubular casing containing heater heating smoking substance substantially constant low temperature regulating flow fuel thermal regulator mean visual indication operation device,vaporizer apparatus comprising cartridge containing vaporizable material within wrapper perforation formed therethrough configured allow air pas wrapper wrapper comprising aluminum foil vaporizable material comprising tobacco vapor forming medium cartridge comprising two air vapor permeable surface configured allow gas transfer vaporizable material gas transfer comprising entry air cartridge exit air vapor generated heating vaporizable material device comprising oven region comprising oven chamber configured receive cartridge heat vaporizable material air inlet air drawn oven region airflow path traverse perforated container two air vapor permeable surface vaporizer apparatus cartridge comprises cellulose vaporizer apparatus cartridge configured remain substantially intact heating vaporizable material wrapper vaporizer apparatus vapor forming medium comprises glycerin vaporizer apparatus device configured heat vaporizable material temperature required vaporize vaporizable material vaporizer apparatus device configured heat cartridge temperature f vaporizer apparatus two air vapor permeable perforated surface different side cartridge vaporizer apparatus comprising heater vaporizer apparatus heater batterypowered electric heater cartridge configured use vaporizer device comprising oven chamber cartridge comprising wrapper perforation formed therethrough configured allow air pas wrapper wrapper comprising aluminum foil vaporizable material within wrapper two air vapor permeable surface configured allow gas transfer vaporizable material gas transfer comprising entry air cartridge exit air vapor generated heating vaporizable material cartridge place oven chamber cartridge vaporizable material comprises tobacco cartridge vaporizable material comprises botanical cartridge vaporizable material comprises cannabis cartridge vaporizable material comprises fine piece vaporizable material cartridge vaporizable material comprises loose leaf vaporizable material cartridge vaporizable material comprises vapor forming medium cartridge two air vapor permeable surface different side cartridge cartridge wrapper preperforated perforation wrapper require punctured use
5,multispecific antigenbinding protein,provided inter alia multispecific antigen binding protein antigenbinding fragment comprising one mutation vhvl domain andor domain pharmaceutical composition comprising isolated nucleic acid vector host cell encodingexpressing method making multispecific antigen binding protein computer readable medium evaluating multispecific antigen binding protein library,multispecific antigen binding protein comprising first heavy chainlight chain pair binding first antigen comprises first heavy chain polypeptide first light chain polypeptide b second heavy chainlight chain pair binding second antigen comprises second heavy chain polypeptide second light chain polypeptide comprises heavy chain variable domain vh heavy chain constant domain comprises light chain variable domain vl light chain constant domain cl domain comprises amino acid substitution eu numbering cl domain comprises amino acid substitution eu numbering multispecific antigen binding protein substitution selected group consisting substitution selected group consisting multispecific antigen binding protein amino acid eu position domain replaced positively charged residue amino acid cl domain replaced negatively charged residue multispecific antigen binding protein amino acid eu position domain replaced negatively charged residue amino acid cl domain replaced positively charged residue multispecific antigen binding protein positively charged residue selected group consisting r k multispecific antigen binding protein one negatively charged residue selected group consisting e multispecific antigen binding protein one domain consists amino acid substitution eu numbering cl domain l consists amino acid substitution eu numbering multispecific antigen binding protein one domain comprises mutation cl domain comprises mutation b domain comprises mutation cl domain comprises mutation c domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation e domain comprises mutation cl domain comprises mutation f domain comprises mutation cl domain comprises mutation g domain comprises mutation cl domain comprises mutation h domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation j domain comprises mutation cl domain comprises mutation k domain comprises mutation cl domain comprises mutation l domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation n domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation p domain comprises mutation cl domain comprises mutation q domain comprises mutation cl domain comprises mutation r domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation u domain comprises mutation cl domain comprises mutation v domain comprises mutation cl domain comprises mutation w domain comprises mutation cl domain comprises mutation x domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation z domain comprises mutation cl domain comprises mutation aa domain comprises mutation cl domain comprises mutation bb domain comprises mutation cl domain comprises mutation cc domain comprises mutation cl domain comprises mutation dd domain comprises mutation cl domain comprises mutation ee domain comprises mutation cl domain comprises mutation ff domain comprises mutation cl domain comprises mutation gg domain comprises mutation cl domain comprises mutation hh domain comprises mutation cl domain comprises mutation ii domain comprises mutation cl domain comprises mutation jj domain comprises mutation cl domain comprises mutation kk domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation mm domain comprises mutation cl domain comprises mutation nn domain comprises mutation cl domain comprises mutation oo domain comprises mutation cl domain comprises mutation pp domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation multispecific antigen binding protein domain comprises consists mutation cl domain comprises consists mutation b domain comprises consists mutation cl domain comprises consists mutation c domain comprises consists mutation cl domain comprises consists mutation domain comprises consists mutation cl domain comprises consists mutation e domain comprises consists mutation cl domain comprises consists mutation multispecific antigen binding protein one domain andor cl domain comprise amino acid substitution multispecific antigen binding protein one domain comprise substitution cl domain comprise substitution multispecific antigen binding protein one vh domain andor comprises amino acid substitution position kabat numbering vl domain andor comprises amino acid substitution position kabat numbering multispecific antigen binding protein amino acid vh domain replaced positively charged residue amino acid vl domain replaced negatively charged residue kabat numbering multispecific antigen binding protein amino acid vh domain replaced positively charged residue amino acid vl domain replaced negatively charged residue kabat numbering multispecific antigen binding protein amino acid vh domain replaced negatively charged residue amino acid vl domain replaced positively charged residue kabat numbering multispecific antigen binding protein amino acid vh domain replaced negatively charged residue amino acid vl domain replaced positively charged residue kabat numbering multispecific antigen binding protein one positively charged residue selected group consisting r k multispecific antigen binding protein one negatively charged residue selected group consisting e multispecific antigen binding protein one vh domain comprises substitution mutation kabat numbering vl domain comprises substitution mutation kabat numbering multispecific antigen binding protein one vh domain comprises substitution mutation vl domain comprises substitution mutation vh domain comprises substitution mutation kabat numbering multispecific antigen binding protein one vh domain comprises substitution mutation vl domain comprises substitution mutation vh domain comprises substitution mutation vl domain comprises substitution mutation kabat numbering multispecific antigen binding protein one vh domain comprises substitution mutation kabat numbering vl domain comprises substitution mutation kabat numbering multispecific antigen binding protein one vh domain comprises substitution mutation vl domain comprises substitution mutation vh domain comprises substitution mutation kabat numbering multispecific antigen binding protein one vh domain comprises substitution mutation vh domain comprises substitution mutation vl domain comprises substitution mutation kabat numbering multispecific antigen binding protein one vh domain comprises substitution mutation vl domain comprises substitution mutation vh domain comprises substitution mutation vl domain comprises substitution mutation kabat numbering multispecific antigen binding protein one interaction two substituted amino acid via hydrogen bond multispecific antigen binding protein one interaction two substituted amino acid via electrostatic interaction multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain l comprises substitution mutation cl domain comprises mutation vh domain comprises substitution mutation vl domain comprises substitution mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation vh domain comprises substitution mutation vl domain comprises substitution mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation vh domain comprises substitution mutation vl domain comprises substitution mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation vh domain comprises substitution mutation vl domain comprises substitution mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation vh domain comprises substitution mutation vl domain comprises substitution mutation multispecific antigen binding protein one vh domain comprises substitution mutation vl domain comprises substitution mutation vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises substitution mutation vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises substitution mutation vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises substitution mutation vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation multispecific antigen binding protein one vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises substitution mutation vh domain comprises substitution mutation domain comprises substitution mutation vl domain comprises substitution mutation cl domain comprises mutation multispecific antigen binding protein one andor comprises fc region comprising domain multispecific antigen binding protein fc region andor human human human fe multispecific antigen binding protein fc region andor mouse mouse mouse fc multispecific antigen binding protein one domain meet interface domain comprises amino acid substitution fc region preferentially pair compared multispecific antigen binding protein amino acid substitution domain result greater electrostatic complementarity multispecific antigen binding protein amino acid substitution domain result greater steric complementarity multispecific antigen binding protein domain altered within interface one amino acid residue replaced one amino acid residue larger side chain volume thereby generating protuberance surface domain interacts domain domain altered within interface one amino acid residue replaced amino acid residue smaller side chain volume thereby generating cavity surface domain interacts domain multispecific antigen binding protein domain altered within interface one amino acid residue replaced one amino acid residue larger side chain volume thereby generating protuberance surface domain interacts domain domain altered within interface one amino acid residue replaced amino acid residue smaller side chain volume thereby generating cavity surface domain interacts domain multispecific antigen binding protein protuberance knob mutation multispecific binding protein knob mutation comprises eu numbering multispecific antigen binding protein cavity hole mutation multispecific antigen binding protein hole mutation comprises least one least two three eu numbering multispecific antigen binding protein comprising first heavy chainlight chain pair comprising first heavy chain polypeptide first light chain polypeptide b second heavy chainlight chain pair comprising second heavy chain polypeptide second light chain polypeptide comprises heavy chain variable domain vh heavy chain constant domain comprises light chain variable domain vl light chain constant domain cl domain comprises amino acid substitution eu numbering cl domain comprises amino acid substitution eu numbering multispecific antigen binding protein domain comprises one amino acid substitution position selected group consisting eu numbering multispecific antigen binding protein one cl domain comprises one amino acid substitution position selected group consisting eu numbering multispecific antigen binding protein one one amino acid substitution position selected group consisting eu numbering andor one amino acid substitution position selected group consisting eu numbering substituted charged amino acid residue multispecific antigen binding protein one amino acid substitution result steric complementarity multispecific antigen binding protein one domain comprises amino acid substitution selected group consisting cl domain comprises amino acid substitution multispecific antigen binding protein one domain comprises mutation cl domain comprises mutation b domain comprises mutation cl domain l comprises mutation multispecific antigen binding protein domain comprises mutation cl domain comprises mutation multispecific antigen binding protein one domain comprises mutation cl domain comprises mutation b domain comprises mutation cl domain comprises mutation c domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation multispecific antigen binding protein one domain comprises mutation cl domain comprises mutation multispecific antigen binding protein vh domain comprises mutation kabat numbering vl domain comprises mutation kabat numbering vh domain comprises mutation kabat numbering vl domain comprises mutation kabat numbering multispecific antigen binding protein domain comprises mutation eu numbering cl domain comprises mutation eu numbering multispecific antigen binding protein v h domain comprises mutation kabat numbering vl domain comprises mutation kabat numbering vh domain comprises mutation kabat numbering vl domain comprises mutation kabat numbering multispecific antigen binding protein domain comprises mutation eu numbering cl domain comprises mutation eu numbering multispecific antigen binding protein one domain comprises mutation cl domain comprises mutation b domain comprises mutation cl domain comprises mutation c domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation e domain comprises mutation cl domain comprises mutation f cl domain ill comprises mutation cl domain comprises mutation g domain comprises mutation cl domain comprises mutation h domain comprises mutation cl domain comprises mutation domain iii comprises mutation cl domain comprises mutation j domain comprises mutation cl domain comprises mutation k domain comprises mutation cl domain comprises mutation l domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation n domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation p domain comprises mutation cl domain comprises mutation q domain comprises mutation cl domain comprises mutation r domain comprises mutation cl domain l comprises mutation domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation u domain comprises mutation cl domain comprises mutation v domain comprises mutation cl domain comprises mutation w domain comprises mutation cl domain comprises mutation multispecific antigen binding protein domain comprises mutation cl domain comprises mutation multispecific antigen binding protein domain comprises mutation cl domain comprises mutation multispecific antigen binding protein domain comprises mutation cl domain comprises mutation multispecific antigen binding protein comprising first heavy chainlight chain pair comprising first heavy chain sequence first light chain sequence b second heavy chainlight chain pair comprising second heavy chain sequence second light chain sequence comprises heavy chain variable domain vh heavy chain constant domain comprises light chain variable domain vl light chain constant domain cl domain comprises amino acid substitution eu numbering cl domain ci comprises amino acid substitution eu numbering multispecific antigen binding protein domain comprises amino acid substitution eu numbering multispecific antigen binding protein domain comprises one amino acid substitution position selected group consisting eu numbering multispecific antigen binding protein one cl domain comprises one amino acid substitution position selected group consisting eu numbering multispecific antigen binding protein one one amino acid substitution position selected group consisting eu numbering andor one amino acid substitution position selected group consisting eu numbering substituted charged amino acid residue multispecific antigen binding protein one amino acid substitution result greater steric complementarity multispecific antigen binding protein one domain comprises amino acid substitution position selected group consisting cl domain comprises amino acid substitution position selected group consisting multispecific antigen binding protein domain comprises mutation cl domain comprises mutation b domain comprises mutation cl domain comprises mutation c domain comprises mutation cl domain comprises mutation domain comprises mutation cl domain comprises mutation multispecific antigen binding protein domain comprises mutation cl domain comprises mutation multispecific antigen binding protein one domain altered within interface two amino acid residue replaced equivalent number amino acid residue larger side chain volume thereby generating protuberance surface domain interacts cl domain cl domain altered within interface two amino acid residue replaced equivalent number amino acid residue smaller side chain volume thereby generating cavity surface cl domain interacts domain multispecific antigen binding protein one cl domain altered within interface two amino acid residue replaced amino acid residue larger side chain volume thereby generating protuberance surface cl domain interacts domain domain altered within interface two amino acid residue replaced amino acid residue smaller side chain volume thereby generating cavity surface domain interacts cl domain multispecific antigenbinding protein ch domain comprises amino acid substitution mutation eu numbering cl domain comprises amino acid substitution mutation eu numbering multispecific antigenbinding protein amino acid position domain replaced positively charged amino acid amino acid position cl domain replaced negatively charged amino acid multispecific antigenbinding protein amino acid position domain replaced negatively charged amino acid amino acid position cl domain replaced positively charged amino acid multispecific antigenbinding protein domain comprises mutation cl domain comprises mutation multispecific antigenbinding protein comprising vh domain mutation vl domain mutation vh domain mutation vl domain mutation multispecific antigenbinding protein die domain comprises mutation cl domain comprises mutation multispecific antigenbinding protein comprising vh domain mutation vl domain mutation vh domain mutation vl domain mutation multispecific antigen binding protein one domain comprises amino acid substitution eu position cl domain comprises amino acid substitution eu position multispecific antigen binding protein interaction amino acid substitution eu position domain amino acid substitution eu position cl domain via electrostatic interaction multispecific antigen binding protein amino acid eu position domain replaced positively charged residue amino acid eu position cl domain replaced negatively charged residue multispecific antigen binding protein amino acid eu position domain replaced negatively charged residue amino acid eu position cl domain replaced positively charged residue multispecific antigen binding protein one domain comprises amino acid substitution position selected group consisting eu position cl domain comprises amino acid substitution position selected group consisting eu position multispecific antigen binding protein domain comprises eu position mutation cl domain comprises eu position mutation b domain comprises eu position mutation cl domain comprises eu position mutation c domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation e domain comprises eu position mutation cl domain comprises eu position mutation f domain comprises eu position mutation cl domain comprises eu position mutation g domain comprises eu position mutation cl domain comprises eu position mutation h domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation j domain hz comprises eu position mutation cl domain comprises eu position mutation k domain comprises eu position mutation cl domain comprises eu position mutation l domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation n domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation p domain comprises eu position mutation cl domain comprises eu position mutation q domain comprises eu position mutation cl domain comprises eu position mutation r domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation u domain comprises eu position mutation cl domain comprises eu position mutation v domain comprises eu position mutation cl domain comprises eu position mutation w domain comprises eu position mutation cl domain comprises eu position mutation x domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation z domain comprises eu position mutation cl domain comprises eu position mutation aa domain hz comprises eu position mutation cl domain comprises eu position mutation bb domain comprises eu position mutation cl domain comprises eu position mutation cc domain comprises eu position mutation cl domain comprises eu position mutation dd domain comprises eu position mutation cl domain comprises eu position mutation ee domain comprises eu position mutation cl domain comprises eu position mutation ff domain comprises eu position mutation cl domain comprises eu position mutation gg domain comprises eu position mutation cl domain comprises eu position mutation hh domain comprises eu position mutation cl domain comprises eu position mutation ii domain comprises eu position mutation cl domain comprises eu position mutation jj domain comprises eu position mutation cl domain comprises eu position mutation kk domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation mm domain comprises eu position mutation cl domain comprises eu position mutation nn domain comprises eu position mutation cl domain comprises eu position mutation oo domain comprises eu position mutation cl domain comprises eu position mutation pp domain comprises eu position mutation cl domain comprises eu position mutation qq domain comprises mutation cl domain comprises mutation multispecific antigen binding protein domain comprises domain comprises eu position mutation cl domain comprises eu position mutation b domain comprises eu position mutation cl domain comprises eu position mutation c domain comprises eu position mutation cl domain comprises eu position mutation domain comprises eu position mutation cl domain comprises eu position mutation e domain comprises eu position mutation cl domain comprises eu position mutation multispecific antigen binding protein one domain cl domain comprise amino acid substitution multispecific antigen binding protein one vh domain comprises amino acid substitution kabat position vl domain comprises amino acid substitution kabat position multispecific antigen binding protein amino acid kabat position vh domain replaced positively charged residue amino acid kabat position vl domain replaced negatively charged residue multispecific antigen binding protein amino acid kabat position vh domain replaced negatively charged residue amino acid kabat position vl domain replaced positively charged residue multispecific antigen binding protein one positively charged residue selected group consisting r k multispecific antigen binding protein one negatively charged residue selected group consisting e multispecific antigen binding protein one vh domain comprises kabat position substitution mutation vl domain comprises kabat position substitution multispecific antigen binding protein one vh domain comprises kabat position substitution mutation vl domain comprises kabat position substitution vh domain comprises kabat position substitution mutation multispecific antigen binding protein one v h domain comprises kabat position substitution mutation vl domain comprises kabat position substitution vh domain comprises kabat position substitution mutation vl domain comprises kabat position substitution mutation multispecific antigen binding protein one vh domain comprises kabat position substitution mutation vl domain comprises kabat position substitution multispecific antigen binding protein one vh domain comprises kabat position substitution mutation vl domain comprises kabat position substitution vh domain comprises kabat position substitution mutation multispecific antigen binding protein one vh domain comprises kabat position substitution mutation vl domain comprises kabat position substitution vh domain comprises kabat position substitution mutation vl domain comprises kabat position substitution mutation multispecific antigen binding protein one comprises fc region comprising domain multispecific antigen binding protein one fc region andor human human human fc multispecific antigen binding protein fc region andor mouse mouse mouse fc multispecific antigen binding protein domain meet interface domain comprises amino acid substitution fc region preferentially pair compared multispecific antigen binding protein amino acid substitution domain result greater electrostatic complementarity multispecific antigen binding protein amino acid substitution domain result greater steric complementarity multispecific antigen binding protein domain altered within interface one amino acid residue replaced one amino acid residue larger side chain volume thereby generating protuberance surface domain interacts domain domain altered within interface one amino acid residue replaced amino acid residue smaller side chain volume thereby generating cavity within surface domain interacts domain multispecific antigen binding protein domain altered within interface one amino acid residue replaced one amino acid residue larger side chain volume thereby generating protuberance surface domain interacts domain domain altered within interface one amino acid residue replaced amino acid residue smaller side chain volume thereby generating cavity surface domain interacts domain multispecific antigen binding protein protuberance knob mutation multispecific binding protein knob mutation comprises eu numbering multispecific antigen binding protein cavity hole mutation multispecific antigen binding protein hole mutation comprises least one least two three eu numbering multispecific antigen binding protein one preferentially pair compared preferentially pair compared multispecific antigen binding protein one first antigen second antigen multispecific antigen binding protein first heavy chainlight chain pair second heavy chainlight chain pair bind different epitope antigen multispecific antigen binding protein one first antigen second antigen different pharmaceutical composition comprising multispecific antigen binding protein one pharmaceutically acceptable carrier method treating disease individual comprising administering individual effective amount pharmaceutical composition isolated nucleic acid encoding least one polypeptide sequence multispecific antigen binding protein one vector comprising nucleic acid isolated host cell comprising nucleic acid vector host cell host cell prokaryotic host cell e coli cell eukaryotic host cell yeast cell mammalian cell cho cell method producing multispecific antigen binding protein one comprising obtaining polypeptide b allowing pair preferentially compared pair preferentially compared form multispecific antigen binding protein method producing multispecific antigen binding protein one comprising introducing set polynucleotides encoding host cell b culturing host cell produce multispecific antigen binding protein method set polynucleotides encoding introduced host cell predetermined ratio method comprising determining optimal ratio polynucleotides introduction host cell method one multispecific antigen binding protein produced relative yield higher method one multispecific antigen binding protein produced relative yield least least least least least least least least least least least least least least least least least least least least least least least least least least least least least least method producing multispecific antigen binding protein comprising culturing host cell one producing multispecific antigen binding protein method one comprising recovering multispecific antigen binding protein multispecific antigen binding protein produced method one library comprising plurality polynucleotides encoding plurality multispecific antigen binding protein one method screening multispecific antigen binding protein bind first antigen second antigen comprising obtaining plurality multispecific antigen binding protein library b assaying binding plurality multispecific antigen binding protein first second antigen c identifying multispecific antigen binding protein bind first second antigen computer readable medium evaluating multispecific antigen binding protein comprising first heavy chainlight chain pair binding first antigen comprises first heavy chain sequence first light chain sequence second heavy chainlight chain pair binding second antigen comprises second heavy chain sequence second light chain sequence comprises heavy chain variable domain vh heavy chain constant domain comprises light chain variable domain vl light chain constant domain cl comprising dataset comprising data representing amino acid substitution least one amino acid substitution domain comprises amino acid substitution eu position cl domain comprises amino acid substitution eu position andor b dataset comprising data representing amino acid substitution least one amino acid substitution domain comprises amino acid substitution eu position cl domain comprises amino acid substitution eu position b computer executable code determining likelihood preferentially pair compared andor preferentially pair compared computer readable medium least one amino acid substitution domain comprises amino acid substitution eu position
6,antibody binding,present invention generally relates antibody bind including bispecific antigen binding molecule eg activating cell addition present invention relates polynucleotides encoding antibody vector host cell comprising polynucleotides invention relates method producing antibody method using treatment disease,antibody bind antibody comprises heavy chain variable domain vh comprising comprising amino acid sequence seq id b cdr comprising amino acid sequence seq id c comprising amino acid sequence seq id light chain variable domain vl comprising comprising amino acid sequence seq id e comprising amino acid sequence seq id f comprising amino acid sequence seq id b heavy chain variable domain vh comprising comprising amino acid sequence seq id b comprising amino acid sequence seq id c comprising amino acid sequence seq id light chain variable domain vl comprising comprising amino acid sequence seq id e comprising amino acid sequence seq id f comprising amino acid sequence seq id antibody antibody fragment bind antibody vh comprises amino acid sequence seq id andor vl comprises amino acid sequence seq id b vh comprises amino acid sequence seq id andor vl comprises amino acid sequence seq id antibody vh comprises amino acid sequence least sequence identity amino acid sequence seq id andor b vl comprises amino acid sequence least sequence identity amino acid sequence seq id antibody vh comprises amino acid sequence least sequence identity amino acid sequence seq id andor b vl comprises amino acid sequence least sequence identity amino acid sequence seq id antibody specifically bind comprising vh comprising amino acid sequence seq id vl comprising amino acid sequence seq id antibody specifically bind comprising vh comprising amino acid sequence seq id vl comprising amino acid sequence seq id antibody antibody igg antibody b fulllength antibody andor c multispecific antibody antibody comprising light chain comprising amino acid sequence seq id heavy chain comprising amino acid sequence seq id comprising light chain comprising amino acid sequence seq id heavy chain comprising amino acid sequence seq id immunoconjugate comprising antibody cytotoxic agent one isolated nucleic acid encoding antibody host cell comprising one nucleic acid method producing antibody bind comprising culturing host cell condition suitable expression antibody comprising recovering antibody host cell host cell culture medium antibody produced method pharmaceutical composition comprising antibody pharmaceutically acceptable carrier pharmaceutical composition comprising additional therapeutic agent method treating individual cancer autoimmune disease comprising administering individual effective amount antibody method adccadcpmediated depletion cell individual comprising administering individual effective amount antibody induce adccadcpmediated depletion cell method cancer multiple myeloma
