,Title,Abstract,Claims
0,compound treatment obesity method use,pentacyclic triterpene weight loss agent provided also provided pharmaceutical formulation containing therapeutically effective amount one weight loss agent pharmaceutically acceptable salt prodrugs combination one pharmaceutically acceptable excipients pharmaceutical formulation administered preobese obese morbidly obese patient induce weight loss reduce body fat reduce food intake improve glucose homeostasis prevent obesity combination weight loss agent also coadministered leptin leptin analog,pharmaceutical formulation comprising compound defined formula dotted line indicate single double bond may present valence permit carboxylic acid cooh primary amide eg secondary amide eg tertiary amide eg secondary carbamate eg tertiary carbamate eg urea eg carbinol eg ether eg ester eg alcohol oh thiol sh primary amine secondary amine eg tertiary amine eg thioether eg sulfinyl group eg sulfonyl group eg sulfino group halogen nitrile alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl hydrogen hydroxy oh thiol sh ether eg thioether eg primary amine secondary amine eg tertiary amine eg primary amide eg secondary amide eg tertiary amide eg secondary carbamate eg tertiary carbamate eg urea eg sulfinyl group eg sulfonyl group eg sulfino group halogen nitrile alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl nitrogen oxygen double bond present oxygen single bond present hydrogen carbonyl group eg alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl absent oxygen double bond present hydroxy oh group nitrogen double bond present hydrogen carbonyl group eg alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroarylgroup optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl oxygen single bond present oxygen single bond present taken together form ring optionally substituted one four substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid hydrogen hydroxy oh thiol sh ether eg thioether eg primary amine secondary amine eg tertiary amine eg primary amide eg secondary amide eg tertiary amide eg secondary carbamate eg tertiary carbamate eg urea eg sulfinyl group eg sulfonyl group eg sulfino group halogen nitrile alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl absent double bond present hydrogen hydroxy oh thiol sh ether eg thioether eg primary amine secondary amine eg tertiary amine eg primary amide eg secondary amide eg tertiary amide eg secondary carbamate eg tertiary carbamate eg urea eg sulfinyl group eg sulfonyl group eg sulfino group halogen nitrile alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl single bond present single bond present taken together form cyclopropyl epoxide ring present individually occurrence alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl pharmaceutically acceptable salt prodrug compound present therapeutically effective amount induce weight loss preobese obese morbidly obese patient reduce body fat preobese obese morbidly obese patient reduce food intake preobese obese morbidly obese patient improve glucose homeostasis preobese obese morbidly obese patient combination formulation compound defined formula ii dotted line indicate single double bond may present valence permit x hydrogen alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether aryl hydrogen hydroxy oh thiol sh ether eg thioether eg primary amine secondary amine eg tertiary amine eg primary amide eg secondary amide eg tertiary amide eg secondary carbamate eg tertiary carbamate eg urea eg sulfinyl group eg sulfonyl group eg sulfino group halogen nitrile alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl nitrogen oxygen double bond present oxygen single bond present hydrogen carbonyl group eg alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl absent oxygen double bond present hydroxy oh group nitrogen double bond present hydrogen carbonyl group eg alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl oxygen single bond present oxygen single bond present taken together form ring optionally substituted one four substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid hydrogen hydroxy oh thiol sh ether eg thioether eg primary amine secondary amine eg tertiary amine eg primary amide eg secondary amide eg tertiary amide eg secondary carbamate eg tertiary carbamate eg urea eg sulfinyl group eg sulfonyl group eg sulfino group halogen nitrile alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl absent double bond present hydrogen hydroxy oh thiol sh ether eg thioether eg primary amine secondary amine eg tertiary amine eg primary amide eg secondary amide eg tertiary amide eg secondary carbamate eg tertiary carbamate eg urea eg sulfinyl group eg sulfonyl group eg sulfino group halogen nitrile alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl single bond present single bond present taken together form cyclopropyl epoxide ring present individually occurrence alkyl cycloalkyl heterocycloalkyl alkylaryl alkenyl alkynyl aryl heteroaryl group optionally substituted one five substituents individually selected alkyl cyclopropyl cyclobutyl ether amine halogen hydroxyl ether nitrile ester amide urea carbamate thioether carboxylic acid aryl pharmaceutically acceptable salt prodrug formulation oxygen formulation double bond present single bond present formulation double bond present single bond present formulation x formulation hydrogen alkyl group optionally substituted one three substituents individually selected alkyl amine halogen hydroxyl ester amide carboxylic acid hydrogen ether thioether formulation hydrogen ether thioether individually occurrence preferably alkyl group optionally substituted one three substituents individually selected alkyl amine halogen hydroxyl ester amide carboxylic acid formulation compound one following formulation comprising leptin leptin analog combination method inducing weight loss reducing body fat food intake improving glucose homeostasis preobese obese morbidly obese patient comprising administering pharmaceutical formulation method pharmaceutical formulation administered effective amount decrease body mass least preferably least preferably least method pharmaceutical formulation administered effective amount decrease body fat least preferably least preferably least method pharmaceutical formulation administered effective amount reduce average daily food intake term calorie least preferably least preferably least method pharmaceutical formulation administered effective amount reduce average fasting plasma blood glucose least preferably least preferably least method pharmaceutical formulation preferably administered amount effective lower blood glucose level le mgdl method formulation comprises one antidiabetic agent improve glucose homeostasis method preventing increase body mass index normal preobese obese morbidly obese patient comprising administering pharmaceutical formulation method comprising coadministering leptin leptin analog combination
1,patient support apparatus communication system,patient support apparatus bed cot stretcher recliner operating table like include wireless mesh network transceivers enable communicate device via mesh network andor ad hoc network one additional wireless transceivers included wifi transceivers enable direct communication healthcare facility network ethernet mesh network communication patient support apparatus device used one extending communication range existing infrastructure efficiently routing data healthcare facility network determining location patient support apparatus device transporting patient data one patient support next patient move aspect,patient support apparatus comprising base frame supported said base patient support deck supported said frame said patient support deck adapted provide support patient first transceiver adapted communicate directly access point healthcare computer network patient support apparatus currently positioned within first range access point second transceiver adapted communicate medical device medical device currently positioned second range patient support apparatus controller adapted transmit message medical device via second transceiver medical device within second range message indicating whether patient support apparatus currently able communicate directly access point using first transceiver patient support apparatus controller adapted transmit medical device via second transceiver listing medical device positioned within second range medical device patient support apparatus controller adapted transmit signal strength information medical device indicating signal strength communication second transceiver medical device positioned within second range patient support apparatus patient support apparatus controller adapted transmit signal strength information medical device via second transceiver signal strength information indicating signal strength communication first transceiver access point patient support apparatus controller adapted transmit available bandwidth information medical device via second transceiver available bandwidth information indicating communication bandwidth second transceiver medical device positioned within second range medical device patient support apparatus controller adapted transmit current level communication traffic medical device via second transceiver current level communication traffic indicating current level communication traffic second transceiver medical device positioned within second range medical device patient support apparatus controller adapted communicate data generated patient support apparatus server healthcare computer network thecontroller adapted transmit data via first transceiver patient support apparatus currently positioned within first range transmit data via second transceiver patient support apparatus currently positioned first range patient support apparatus patient support apparatus currently positioned first range controller adapted choose whether transmit data medical device another medical device positioned within second range patient support apparatus controller adapted choose whether transmit data medical device another medical device based upon many communication hop lie medical device healthcare computer network many communication hop lie another medical device healthcare computer network patient support apparatus said patient support apparatus one bed stretcher recliner cot operating table patient support apparatus including third transceiver adapted communicate beacon positioned fixed known location within healthcare facility beacon adapted transmit location information indicative location within healthcare facility controller adapted transmit location information received beacon second patient support apparatus via second transceiver patient support apparatus controller adapted transmit location information second patient support apparatus second patient support apparatus include transceiver adapted communicate beacon second patient support apparatus positioned outside communication range beacon patient support apparatus system comprising plurality beacon positioned fixed known location within healthcare facility beacon adapted transmit location information indicative location within healthcare facility first patient support apparatus second patient support apparatus first patient support apparatus comprises first patient support deck adapted provide support first patient first transceiver adapted communicate beacon receive location information least one beacon second transceiver adapted communicate second patient support apparatus third transceiver adapted communicate directly access point healthcare computer network second patient support apparatus comprises second patient support deck adapted provide support second patient communication system adapted communicate second transceiver first patient support apparatus plurality beacon communication system adapted receive location information first patient support apparatus via second transceiver use location information determine location second patient support apparatus patient support apparatus system first patient support apparatus comprises controller adapted communicate medical device via second transceiver medical device positioned within range second transceiver patient support apparatus system controller transmits location information medical device via second transceiver medical device include transceiver adapted communicate plurality beacon patient support apparatus system first transceiver infrared transceiver patient support apparatus system comprising third patient support apparatus fourth patient support apparatus third fourth patient support apparatus including fourth transceiver adapted communicate plurality beacon receive location information beacon third fourth patient supportapparatuses including fifth transceiver adapted communicate location information communication system second patient support apparatus whereby second patient support apparatus us location information first third fourth patient support apparatus determine location patient support apparatus system first patient support apparatus comprises controller adapted transmit message second patient support apparatus via second transceiver indicating whether first patient support apparatus currently able communicate directly access point using third transceiver patient support apparatus system first patient support apparatus comprises controller adapted transmit second patient support apparatus listing medical device currently within communication range second transceiver first patient support apparatus patient support apparatus system controller first patient support apparatus adapted transmit signal strength information second patient support apparatus signal strength information indicating signal strength communication second transceiver medical device identified listing medical device
2,negative electrode power storage device power storage device,decomposition reaction electrolyte solution like caused side reaction charge discharge minimized repeated charge discharge lithium ion battery lithium ion capacitor thus lithium ion battery lithium ion capacitor longterm cycle performance negative electrode power storage device includes negative electrode current collector negative electrode active material layer includes plurality particle negative electrode active material particle negative electrode active material inorganic compound film containing first inorganic compound part surface negative electrode active material layer film contact exposed part negative electrode active material part inorganic compound film film contains organic compound second inorganic compound,power storage device comprising positive electrode negative electrode electrolyte negative electrode comprises current collector active material layer current collector active material layer comprising first particle active material first film comprising inner surface first region first particle second film first film first region first particle graphene first film comprises metal oxide second film comprises organic material inorganic material second film contact second region first particle graphene partly surround first particle power storage device first particle comprises silicon oxygen power storage device first particle comprises silicon power storage device first particle average diameter equal le equal power storage device first film thickness equal nm le equal nm power storage device metal oxide oxide one aluminum titanium niobium vanadium tantalum tungsten zirconium molybdenum hafnium chromium silicon power storage device inorganic material one fluoride carbonate oxide hydroxide material selected lithium sodium potassium calcium strontium barium beryllium magnesium power storage device comprising positive electrode negative electrode electrolyte negative electrode comprises current collector active material layer current collector active material layer comprising first particle active material second particle active material first film comprising inner surface first region first particle second film first film first region first particle graphene first film comprises metal oxide second film comprises organic material inorganic material second film contact second region first particle graphene partly surround second particle power storage device first particle comprises silicon oxygen power storage device first particle comprises silicon power storage device first particle average diameter equal le equal power storage device first film thickness equal nm le equal nm power storage device inorganic material one fluoride carbonate oxide hydroxide material selected lithium sodium potassium calcium strontium barium beryllium magnesium power storage device metal oxide oxide one aluminum titanium niobium vanadium tantalum tungsten zirconium molybdenum hafnium chromium silicon power storage device comprising positive electrode negative electrode electrolyte negative electrode comprises current collector active material layer current collector active material layer comprising first particle active material second particle active material first film comprising inner surface first region first particle second film first film first region first particle graphene first film comprises metal oxide second film comprises organic material inorganic material second film contact second region first particle graphene cover first particle second particle power storage device first particle comprises silicon oxygen power storage device first particle comprises silicon power storage device first particle average diameter equal le equal power storage device first film thickness equal nm le equal power storage device inorganic material one fluoride carbonate oxide hydroxide material selected lithium sodium potassium calcium strontium barium beryllium magnesium power storage device metal oxide oxide one aluminum titanium niobium vanadium tantalum tungsten zirconium molybdenum hafnium chromium silicon power storage device graphene contains oxygen proportion oxygen higher equal atomic lower equal atomic
3,medical image processing apparatus,medical image processing apparatus provided generates threedimensional superposed image showing inserted medical device preoperative image specifically medical image processing apparatus comprises input unit image signal generating unit image information generating unit generates image information acquiring superposed imagehaving threedimensional image medical device threedimensional image preoperative structure output unit,medical image processing apparatus comprising image information generating unit configured generate image information acquiring superposed image threedimensional image medical device threedimensional image structure output unit configured output image information image information generating unit corrects structure superposed image basis state contact detected detector medical device structure medical device output unit output corrected image information medical image processing apparatus case contact structure medical device detected detector image information generating unit corrects structure superposed image manner structure approach medical device medical image processing apparatus image information generating unit performs correction manner enlarge structure superposed image medical image processing apparatus image information generating unit performs correction manner structure portion corrected enlarged portion displayed continuously medical image processing apparatus case non contact structure medical device detected detector image information generating unit performs correction reduce visibility structure superposed image medical image processing apparatus image information generating unit reduces visibility structure superposed image either reducing size structure deleting structure medical image processing apparatus detector pressure sensor state contact acquired basis changeofpressure information detected pressure sensor medical image processing apparatus medical device includes curvature deformation unit medical image processing apparatus curvature deformation unit serially aligned structure node ring axial direction node ring medical image processing apparatus detector provided curvature deformation unit medical image processing apparatus detector attitude sensor configured detect attitude curvature deformation unit medical image processing apparatus comprising control unit configured control deformation curvature deformation unit medical image processing apparatus control unit communicates medical device wirelessly medical image processing apparatus threedimensional image structure includes marker image information generating unit generates image information using medical image processing apparatus viewpoint superposed image changeable medical image processing apparatus comprising display unit configured display corrected image information image information generation method generating image information acquiring superposed image threedimensional image medical device threedimensional image structure comprising correcting structure superposed image basis state contact detected detector medical device structure medical device outputting corrected image information image information generation method correction case contact structure medical device detected detector structure superposed image corrected manner structure approach medical device image information generation method correction performed manner enlarge structure superposed image image information generation method correction performed manner structure portion corrected enlarged portion displayed continuously image information generation method case non contact structure medical device detected detector correction performed reduce visibility structure superposed image image information generation method visibility structure superposed image reduced either reducing size structure deleting structure image information generation method threedimensional image structure includes marker image information generated using marker image information generation method viewpoint superposed image changeable
4,apparatus method using ultraviolet light pulsatile lavage,illumination device comprises housing power supply least one light source powered power supply least one light source adapted emit radiation housing one therapeutic wavelength illumination device positioned proximity area applying radiation area time intensity sufficient bacteriocidal effect,device treating patient device comprising pulsatile lavage device comprising first conduit fluid introduced patient second conduit fluidis removed patient uv light source emit uv light patient body house lavage device uv light source device body comprises switch activate lavage device uv light source device uv light uvc light within spectrum nm device treating patient device comprising body irrigation system attached body move fluid patient comprising first conduit fluid move outlet fluid expelled suction system attached body comprising second conduit inlet fluid removed patient uv light source attached body outlet uv light emitted patient device comprising switch body activate irrigation system suction system light source device uv light within spectrum nm device uv light uvc light within spectrum nm device comprising optical cable extends uv light source outlet device comprising battery positioned body connected uv light source provide power uv light source device outlet uv light source positioned outlet irrigation system inlet suction system method treating patient comprising positioning device surgical site within patient delivering fluid device surgical site within patient removing surgical site fluid device delivering removing fluid emitting uv light device surgical site method comprising moving device within patient delivering removing fluid emitting uv light method comprising activating switch device delivering removing fluid emitting uv light
5,combination method composition including sleep therapeutic treating mood,pharmaceutical combination method using combination treat depression disclosed various embodiment pharmaceutical combination include combination omega fatty acid pharmacological sleep agent nonpharmacological sleep therapy may include ingredient antidepressant present invention relates pharmaceutical combination method use treat depression,apparatus treating least one mood disorder user experiencing apparatus comprising least one input device configured receive least one input user least one processor configured determine information output user based least one input received user least one output device configured treat least one mood disorder outputting user information assisting treatment least one sleep aspect least one mood disorder comprises depression apparatus apparatus connected network apparatus configured send least one input least one server receive information assisting treatment least one sleep aspect least one server apparatus least one input device configured receive information relating least one sleep aspect user apparatus information relating least one sleep aspect indicates user suffering least one sleep aspect apparatus least one sleep aspect comprises least one sleep disorder sleep pattern sleep quality sleep timing sleep duration quality quantity sleep disruption apparatus information relating least one sleep aspect comprises sleep diary tracking least one metric related sleep behavior user apparatus least one input device configured receive information relating least one mood disorder user apparatus information assisting treatment least one sleep aspect comprises least one interactive sleep diary tracking least one metric related sleep behavior user psychological education material instruction modifying sleep behavior user information regarding sleep hygiene stimulus control relaxation training interactive multimedia content paced breathing progressive muscle relaxation imageryinduced relaxation andor selfhypnosis instruction sleep restriction andor sleep window instruction use medication cognitive therapy andor instruction user monitoring adjustment thought user apparatus least one mood disorder comprises mood disorder occurring prepartum postpartum apparatus user year old system treating least one mood disorder user experiencing system comprising least one server least one user device connected least one server via least one network least one user device comprising least one input device configured receive least one input user least one processor configured determine information output user based least one input received user least one output deviceconfigured treat least one mood disorder outputting user information assisting treatment least one sleep aspect least one mood disorder comprises depression system least one input device configured receive information relating least one sleep aspect user system information relating least one sleep aspect indicates user suffering least one sleep aspect system information relating least one sleep aspect comprises sleep diary tracking least one metric related sleep behavior user least one nontransitory computerreadable storage medium storing processorexecutable instruction executed least one processor cause least one processor perform method treating least one mood disorder user experiencing method comprising receiving least one input user determining information output user based least one input received user treating least one mood disorder outputting user information assisting treatment least one sleep aspect least one mood disorder comprises depression least one nontransitory computerreadable storage medium treating least one mood disorder comprises providing fatty acid formulation amount effective treat depression least one nontransitory computerreadable storage medium method comprising sleep hygiene sleep restriction stimulus control sleep scheduling cognitive therapy relaxation therapy mindfulness therapy training least one nontransitory computerreadable storage medium depression comprises treatment resistant depression least one nontransitory computerreadable storage medium method comprising facilitate selfadministered cognitive behavioral therapy least one sleep aspect least one nontransitory computerreadable storage medium depression responds treatment within fewer week initiation treatment
6,information providing method information providing apparatus,cloud server receives environmental information respective installation site plurality appliance via network determines one appliance installed room among plurality appliance based received environmental information,information providing method use information providing apparatus connected plurality appliance via network method comprising receiving signal indicating call made telephone connected via network specifying one sound generator installed room telephone installed generating sound accordance operation referring list one appliance installed room among plurality appliance outputting control signal suppressing generation sound least one sound generator one sound generator information providing method least one sound generator represents av system information providing method control signal signal lowering volume information providing method least one sound generator represents dishwasher information providing method control signal signal suspending operation dishwasher information providing method control signal signal turning power dishwasher information providing method comprising receiving position specifying information specifying location plurality appliance room specifying location user room determining whether distance location least one sound generator location user room indicates predetermined value greater based received position specifying information keeping control signal output distance determined indicate predetermined value greater information providing method position specifying information includes image within room captured imaging device location plurality appliance room specified location user room specified based captured image information providing method position specifying information includes thermal radiation distribution within room measured thermal radiation distribution measuring device location plurality appliance room specified location user room specified based measured thermal radiation distribution information providing method control signal determined referring coordinated operation database associating soring operation one appliance among plurality appliance operation another appliance operates coordination one appliance information providing method list created receiving environmental information respective installation site plurality appliance determining whether plurality appliance installed room based received environmental information providing method environmental information includes information relating time plurality appliance detected change light one appliance among plurality appliance time change light detected determined appliance installed room information providing method plurality light source respectively disposed plurality room within building lit predetermined lighting pattern one appliance among plurality appliance lighting pattern detected determined appliance installed room information providing method environmental information includes information relating time plurality appliance detected change sound one appliance among plurality appliance time change sound detected determined appliance installed room information providing method mobile appliance move plurality room within building caused output sound environmental information includes information relating time plurality appliance detected change sound output mobile appliance one appliance among plurality appliance time change sound detected determined appliance installed room information providing method environmental information includes information relating time plurality appliance detected change temperature one appliance among plurality appliance time change temperature detected determined appliance installed room information providing apparatus connected plurality appliance via network comprising processor caused receive signal indicating call made telephone connected via network specify one sound generator installed room telephone installed generating sound accordance operation referring list one appliance installed room among plurality appliance output control signal suppressing generation sound least one sound generator one sound generator
7,method treating cancer using dihydropyrazinopyrazine compound combination therapy,provided method treating preventing cancer comprising administering effective amount dihydropyrazinopyrazine compound effective amount androgen receptor antagonist patient cancer,method achieving complete response partial response stable disease determined response evaluation criterion solid tumor recist patient castrationresistant prostate cancer comprising administering patient castrationresistant prostate cancer effective amount dihydropyrazinopyrazine compound combination effective amount dihydropyrazinopyrazine compound compound structure pharmaceutically acceptable salt clathrate solvate stereoisomer tautomer isotopologue method castrationresistant prostate cancer relapsed refractory castrationresistant prostate cancer method castrationresistant prostate cancer etwenty six ets overexpressing castrationresistant prostate cancer method castrationresistant prostate cancer metastatic castration resistant prostate cancer method dihydropyrazinopyrazine compound administrated unit dosage formulation comprising mg mg mg dihydropyrazino pyrazine compound combination effective amount method dihydropyrazinopyrazine compound administrated unit dosage formulation comprising mg dihydropyrazinopyrazine compound combination effective amount method dihydropyrazinopyrazine compound administrated unit dosage formulation twice day combination effective amount method administrated unit dosage formulation comprising mg combination effective amount dihydropyrazinopyrazine method administrated unit dosage formulation day combination effective amount dihydropyrazinopyrazine compound
8,system method pressurebased haptic effect,one illustrative system disclosed includes sensor configured detect user interaction touch surface transmit sensor signal including data associated pressure user interaction illustrative system also includes processor communication sensor processor configured receive sensor signal determine based sensor signal pressure level determine user interface level based least part pressure level perform function associated user interface level user interaction determine haptic effect based least part user interface level user interaction generate haptic signal based least part haptic effect transmit haptic signal illustrative system includes haptic output device configured receive haptic signal output haptic effect,system comprising processor haptic output device communicatively coupled processor responsive one haptic signal processor memory communicatively coupled processor memory comprising program code executable processor cause processor display virtual object touchscreen display receive signal touchscreen display indicating contact location virtual object output first haptic effect haptic output device response pressure contact exceeding first pressure threshold output second haptic effect haptic output device response pressure contact increasing second pressure threshold greater first pressure threshold output third haptic effect haptic output device response pressure contact falling second pressure threshold third pressure threshold system first haptic effect configured simulate texture virtual object ii first interaction virtual object iii virtual object performing first virtual operation system second haptic effect configured simulate second interaction virtual object different first interaction ii virtual object performing second virtual operation different first virtual operation system third haptic effect configured simulate third interaction virtual object different first interaction second interaction ii virtual object performing third virtual operation different first virtual operation second virtual operation system memory comprises program code executable processor cause processor execute first function response pressure contact exceeding first pressure threshold first function different outputting first haptic effect execute second function response pressure contact increasing second pressure threshold second function different first function second function different outputting second haptic effect system memory comprises program code executable processor cause processor execute third function response pressure contact falling third pressure threshold third function different first function second function third function different outputting third haptic system third pressure threshold second pressure threshold system third pressure threshold first pressure threshold method comprising displaying processor virtual object touchscreen display receiving processor signal touchscreen display indicating contact location virtual object outputting processor first haptic effect haptic output device response pressure contact exceeding first pressure threshold outputting processor second haptic effect haptic output device response pressure contact increasing second pressure threshold greater first pressure threshold outputting processor third haptic effect haptic output device response pressure contact falling second pressure threshold third pressure threshold method first haptic effect configured simulate texture virtual object ii first interaction virtual object iii virtual object performing first virtual operation method second haptic effect configured simulate interaction virtual object ii virtual object performing virtual operation method third haptic effect configured simulate interaction virtual object ii virtual object performing virtual operation method comprising executing first function response pressure contact exceeding first pressure threshold first function different outputting first haptic effect executing second function response pressure contact increasing second pressure threshold second function different first function second function different outputting second haptic effect method comprising executing function response pressure contact falling third pressure threshold function different outputting third haptic effect method third pressure threshold second pressure threshold method third pressure threshold first pressure threshold nontransitory computerreadable medium comprising program code executable processor cause processor display virtual object touchscreen display receive signal touchscreen display indicating contact location virtual object output first haptic effect haptic output device response pressure contact exceeding first pressure threshold output second haptic effect haptic output device response pressure contact increasing second pressure threshold greater first pressure threshold output third haptic effect haptic output device response pressure contact falling second pressure threshold third pressure threshold nontransitory computerreadable medium third haptic effect configured simulate interaction virtual object ii virtual object performing virtual operation nontransitory computerreadable medium comprising program code executable processor cause processor execute function response pressureof contact falling third pressure threshold function different outputting third haptic effect nontransitory computerreadable medium third pressure threshold second pressure threshold nontransitory computerreadable medium third pressure threshold first pressure threshold
9,method apparatus setting imaging environment using signal transmitted plurality client,method apparatus setting imaging environment medical apparatus based one signal transmitted plurality client provided method setting imaging environment medical apparatus based one signal transmitted plurality client includes transmitting information regarding imaging operation medical apparatus plurality client receiving one response signal respect information plurality client setting imaging environment medical apparatus based one response signal,method setting imaging environment medical apparatus based one signal transmitted plurality client method comprising transmitting information regarding imaging operation medical apparatus plurality client receiving one response signal respect information plurality client setting imaging environment medical apparatus based one response signal method information regarding imaging operation comprises least one image monitoring information imaging parameter information image processing information method one response signal comprise least one imaging approval signal imaging termination signal information related imaging operation image monitoring information signal change imaging parameter information related imaging operation imaging parameter information signal set image reconstruction condition information related imaging operation image processing information method information relating imaging operation comprises information video conference plurality client method one response signal comprise least one image signal voice signal video conference method setting imaging environment comprises selecting least one one response signal priority order plurality client setting imaging environment medical apparatus selected response signal method information representing set imaging environment transmitted plurality client realtime transmitting information regarding imaging apparatus setting imaging environment medical apparatus based one response signal transmitted plurality client apparatus comprising transmitter configured transmit information regarding imaging operation medical apparatus plurality client receiver configured receive one response signal respect information plurality client imaging environment setter configured set imaging environment medical apparatus based one response signal apparatus information relating imaging operation comprises least one image monitoring information imaging parameter information image processing information apparatus one response signal comprises least one imaging approval signal imaging termination signal information related imaging operation image monitoring information signal change imaging parameter information related imaging operation imaging parameter information signal set image reconstruction condition information related imaging operation image processing information apparatus information regarding imaging operation comprises information video conference plurality client apparatus one response signal comprise least one image signal voice signal video conference apparatus imaging environment setter comprises selector configured select least one one response signal priority order plurality client set imaging environment medical apparatus selected response signal apparatus information representing set imaging environment transmitted plurality client realtime transmitting information regarding imaging operation nontransitory computer readable recording medium embodied thereon program executing method setting imaging environment medical apparatus based one signal transmitted plurality client method comprising transmitting information regarding imaging operation medical apparatus plurality client receiving one response signal respect information plurality client setting imaging environment medical apparatus based one response signal method comprising assigning priority controlling medical apparatus plurality client received one response signal
